Ranges (XFloat, first version)

jetEngine     56.092    [-1780.367790966668, 4820.0198263635]           (3.171337259993266e-08)(abs)  //-5 <= x1 && x1 <= 5 && -20 <= x2 && x2 <= 5
rigidBody1    0.552     [-705.0000000000006, 705.0000000000006]         (5.578870698741412e-13)(abs)  //x1 <= 15 && x1 >= -15 && x2 <= 15 && x2 >= -15 && x3 <= 15 && x3 >= -15
rigidBody1_2  0.531     [-2685.001396656039, 2814.997323513033]         (2.348121107017879e-12)(abs)  //x1 <= 13 && x1 >= -20 && x2 <= 25 && x2 >= -25 && x3 <= 35 && x3 >= -45
rigidBody1_3  0.454     [-1165.000000000001, 635.0004434585582]         (1.055822096418524e-12)(abs)  //x1 <= 20 && x1 >= -10 && x2 <= 10 && x2 >= -20 && x3 <= 5 && x3 >= -25
rigidBody2    1.961     [-56009.83102798469, 58739.83387470252]         (6.565072470118958e-11)(abs)  //x1 <= 15 && x1 >= -15 && x2 <= 15 && x2 >= -15 && x3 <= 15 && x3 >= -15
rigidBody2_2  2.073     [-595186.0321044929, 479866.1014854915]         (6.828369041818840e-1)(abs)   //x1 <= 13 && x1 >= -20 && x2 <= 25 && x2 >= -25 && x3 <= 35 && x3 >= -45
rigidBody2_3  2.19      [-106229.0094709399, 223763.6403608325]         (2.498022507606517e-1)(abs)   //x1 <= 20 && x1 >= -10 && x2 <= 10 && x2 >= -20 && x3 <= 5 && x3 >= -25

bspline0    15.978      [-0.06250000000000024, 0.1666666666666669]      (2.405483220021173e-16)(abs)  //0 <= u && u <= 1
bspline0_2  2.729       [-0.1666895548502835, 20.83333333333335]        (2.312964634635743e-14)(abs)  //-4 <= u && u <= 2
bspline0_3  0.608       [-288.0000000000003, -0.1665461361404876]       (3.357314426466474e-13)(abs)  //2 <= u && u <= 13
bspline1    0.548       [0.1666628519693999, 0.6667200724283866]        (1.184245516230026e-15)(abs)  //0 <= u && u <= 1
bspline1_2  0.558       [-47.33333333333339, 0.6667281786601298]        (5.491903228479109e-14)(abs)  //-4 <= u && u <= 2
bspline1_3  0.59        [0.6662709812310079, 930.1665227512532]         (1.317297624174312e-12)(abs)  //2 <= u && u <= 13
bspline2    10.962      [0.166620890299478, 0.9166666666666679]         (1.136951643378319e-15)(abs)  //0 <= u && u <= 1
bspline2_2  0.77        [-0.8333476384481302, 38.16666666666671]        (5.092222939614052e-14)(abs)  //-4 <= u && u <= 2
bspline2_3  0.609       [-1007.333285470805, -0.8331113954370725]       (1.439644180123583e-12)(abs)  //2 <= u && u <= 13
bspline3    0.213       [-5.086263020962859e-06, 0.1666666666666668]    (1.295260195396016e-16)(abs)  //0 <= u && u <= 1
bspline3_2  0.193       [-10.66666666666667, 1.333384831746427]         (8.289665250534503e-15)(abs)  //-4 <= u && u <= 2
bspline3_3  0.321       [1.333133250474645, 366.1666666666669]          (2.845686649285047e-13)(abs)  //2 <= u && u <= 13


doppler     4.33        [-137.638579699491, -0.03377329981417086]       (3.771879875026122e-12)(abs)  //-100 <= u && u <= 100 && 20 <= v && v <= 20000 && -30 <= T && T <= 50
doppler2    3.406       [-230.9908309874914, -0.01986094177827449]      (1.098935549657784e-09)(abs)  //-125 <= u && u <= 125 && 15 <= v && v <= 25000 && -40 <= T && T <= 60
doppler3    2.919       [-83.06535389873845, -0.507382042634586]        (7.134727737048998e-13)(abs)  //-30 <= u && u <= 120 && 320 <= v && v <= 20300 && -50 <= T && T <= 30

beales      13.862      [3.669606808676164, 31580651.20175222]          (9.186787925566195e-08)(abs)  //-4 <= x && x <= 0.5 && 1.5 <= y && y <= 4.45
beales2     16.63       [-7.371678893040051, 178957140.206513]          (5.367168839920104e-07)(abs)  //-5 <= x && x <= 2.5 && 2.5 <= y && y <= 4.78
beales3     11.772      [-22.99054232160309, 63161328.8171344]          (1.861187910224898e-07)(abs)  //-2 <= x && x <= 4.5 && 0.2 <= y && y <= 4.45
booths      4.523       [175.2187499999992, 680.0000000000008]          (8.153477892847152e-13)(abs)  //-9 <= x && x <= -5 && 1 <= y && y <= 3
booths2     0.671       [-0.0006041526816482623, 1832.000000000002]     (2.204902926905561e-12)(abs)  //-13 <= x && x <= 2 && -3 <= y && y <= 7.6
booths3     2.055       [1.79944210052374, 785.7000000000012]           (1.162829832423995e-12)(abs)  //-5 <= x && x <= 6.7 && 4 <= y && y <= 10.5
camel       1.821       [-0.001017252609655562, 2047.916825612391]      (5.488895711386104e-12)(abs)  //-5 <= x && x <= 5 && -5 <= y && y <= 5
camel2      1.911       [-0.5308818320148813, 1163317.773122993]        (2.294586616981705e-09)(abs)  //-13.9 <= x && x <= 7.98 && -12.8 <= y && y <= 8.9
camel3      2.325       [-0.05086183698625921, 143779.0929408147]       (2.953240536631197e-1)(abs)   //-2.4 <= x && x <= 9.86 && -1.2 <= y && y <= 14.78
goldstein   18.592      [-2161.96724892938, 351642.6957119931]          (1.275396057357894e-08)(abs)  //-1.5 <= x && x <= 0.5 && 0.5 <= y && y <= 1.5
matyas      0.545       [9.159963684082005, 36.36000000000003]          (2.681854738284529e-14)(abs)  //-9 <= x && x <= -5 && 1 <= y && y <= 3
matyas2     1.215       [-2.569101562500129, 176.8850000000001]         (1.298733343091385e-13)(abs)  //-19 <= x && x <= -3 && -1 <= y && y <= 7.5
matyas3     0.692       [-1.293993047632447e-06, 70.17140000000005]     (5.141662651197976e-14)(abs)  //-3.4 <= x && x <= 5 && -11.7 <= y && y <= 1
motzkin     1.377       [-61.13473172945065, 429497007.2551016]         (8.077625241191863e-07)(abs)  //-5.6 <= x && x <= 1.3 && 45.3 <= y && y <= 63.0 && 3.2 <= z && z <= 15.7
motzkin3    1.542       [-115.6865337091899, 178956994.8104965]         (3.044975640782958e-07)(abs)  //-2.6 <= x && x <= 7.3 && 25.3 <= y && y <= 43.0 && -3.2 <= z && z <= 10.7

cos         2.331       [-1.425577387301318, 1.000044594567807]         (1.497283996534992e-14)(abs)  //-1.0 <= x && x <= 1.0
cos2        12.528      [-0.4922592616946959, 216.8628235416287]        (5.643785618293718e-13)(abs)  //-3.14 <= x && x <= 3.14
cos3        23.763      [-59.6278899600531, 0.9618583441064379]         (3.801966832759469e-13)(abs)  //-5.0 <= x && x <= -1.0
cosh6       1.823       [0.999928665732771, 5.215072735712805]          (5.223767709027439e-15)(abs)  //-1.23 <= x && x <= 2.34 
exOverCosx  1.927       [0.6786265643954208, 2.986160283168164]         (6.894882459635465e-15)(abs)  //-1.5 <= x && x <= 0.8
sin         15.528      [-1.387765197655501, 1.345917664129674]         (9.696607535847300e-16)(abs)  //-1.35 <= x && x <= 1.28
sin2        15.933      [-0.7796738717681395, 1.000013704883259]        (8.553439271983389e-15)(abs)  //1.0 <= x && x <= 2.46
sin3        14.655      [0.105286118100197, 3.589273127234312]          (3.801888353533065e-14)(abs)  //-1.0 <= x && x <= 3.14
sinh7       2.103       [-0.4653433534369832, 5.136358831515427]        (4.699711476341647e-15)(abs)  //-0.45 <= x && x <= 2.34
sqrt        23.615      [1.166782218318263, 2.131077392943857]          (1.942144862500923e-15)(abs)  //1.35 <= x && x <= 4.28
sqrt2       12.632      [1.839532064660905, 3.501811897192507]          (2.868410082579592e-15)(abs)  //3.35 <= x && x <= 12.28
sqrt3       3.111       [0.2668868064756443, 4.520115731173221]         (2.766087143274016e-14)(abs)  //3.35 <= x && x <= 12.28
tan5        0.763       [-2.527390666666669, 2.527390666666669]         (2.070476382935264e-15)(abs)  //-1.3 <= x && x <= 1.3

