Ranges (XFloat, first version)

jetEngine   59.552      [-1780.36779096668, 4820.019826363488]          (3.171337259993266e-08)(abs)
rigidBody1  0.552       [-705.0000000000006, 705.0000000000006]         (5.578870698741412e-13)(abs)
rigidBody2  2.058       [-56010.05252838141, 58740.00000000007]         (6.565081811515938e-11)(abs)

bspline0    16.26       [-0.06250000000000024, 0.1666666666666669]      (2.405483220021173e-16)(abs)
bspline1    0.615       [0.1666628519693998, 0.6667200724283865]        (1.184245516230026e-15)(abs)
bspline2    10.731      [0.166620890299478, 0.9166666666666676]         (1.136951643378319e-15)(abs)
bspline3    0.235       [-5.086263020965382e-06, 0.1666666666666668]    (1.295260195396016e-16)(abs)

doppler     5.086       [-137.6385796994911, -0.03377329981418884]      (3.772843821859382e-12)(abs) 

beales      15.122      [3.669606807042411, 31836658.23622909]          (9.191321009005603e-08)(abs)
booths      5.709       [175.2187499999992, 680.0000000000008]          (8.153477892847152e-13)(abs)
camel       1.941       [-0.001017252609726032, 2047.916825612391]      (5.488896676430151e-12)(abs)
goldstein   19.415      [-2161.96724892938, 351662.8131091024]          (1.275404180265496e-08)(abs)
matyas      0.609       [9.159963684082005, 36.36000000000003]          (2.681854738284529e-14)(abs)
motzkin     1.742       [-61.13473177314764, 491463819.0344583]         (8.215377152686824e-07)(abs)


